model_name,package_name,module_path,model_kind
AcceptanceOperator,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,strenum
AcceptedPsmProvenanceEntry,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
AcceptedPsmProvenanceReport,bijux-proteomics-core,bijux_proteomics/identification/__init__.py,jsonmodel
AdapterConformanceRouteRequest,bijux-proteomics-core,bijux_proteomics/interfaces/api.py,jsonmodel
AdapterConformanceRouteResponse,bijux-proteomics-core,bijux_proteomics/interfaces/api.py,jsonmodel
AdductHypothesis,bijux-proteomics-core,bijux_proteomics/chemistry/isotope_adduct_annotation.py,jsonmodel
AdvancedIntelligenceReviewPacket,bijux-proteomics-intelligence,bijux_proteomics_intelligence/evaluators.py,jsonmodel
AdvancementEvidenceItem,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AdvancementEvidencePacket,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AdvisoryAssayPlan,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AdvisoryAssayRecommendation,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AgentMetadata,bijux-proteomics-runtime,bijux_proteomics_runtime/agents/schemas.py,basemodel
AgentScorecard,bijux-proteomics-runtime,bijux_proteomics_runtime/execution/evaluation/schemas.py,basemodel
AgenticProteinsMigrationItem,bijux-proteomics-core,bijux_proteomics/adoption/__init__.py,jsonmodel
AgenticProteinsMigrationReport,bijux-proteomics-core,bijux_proteomics/adoption/__init__.py,jsonmodel
AlternativeAssayPlanComparison,bijux-proteomics-lab,bijux_proteomics_lab/handoffs.py,jsonmodel
AlternativeAssayPlanOption,bijux-proteomics-lab,bijux_proteomics_lab/handoffs.py,jsonmodel
AnalysisProtocol,bijux-proteomics-intelligence,bijux_proteomics_intelligence/design_loop/loop.py,protocol
AnalyticalContrastRecommendation,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,jsonmodel
AnalyticalContrastRecommendationReport,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,jsonmodel
AnalyticalContrastRejectionReason,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,strenum
AnalyticalValueSignal,bijux-proteomics-intelligence,bijux_proteomics_intelligence/skeptical_review.py,jsonmodel
AnnotatedSpectrumBundle,bijux-proteomics-core,bijux_proteomics/io/spectra.py,jsonmodel
AnnotationCategory,bijux-proteomics-intelligence,bijux_proteomics_intelligence/interpretation.py,strenum
AnomalyInterpretationRecommendation,bijux-proteomics-intelligence,bijux_proteomics_intelligence/decision_paths.py,jsonmodel
ApiCandidate,bijux-proteomics-runtime,bijux_proteomics_runtime/api/v1/schema.py,basemodel
ApiCandidateStructure,bijux-proteomics-runtime,bijux_proteomics_runtime/api/v1/schema.py,basemodel
ApiEnvelope,bijux-proteomics-runtime,bijux_proteomics_runtime/api/v1/schema.py,basemodel
AppliedModification,bijux-proteomics-core,bijux_proteomics/chemistry/__init__.py,jsonmodel
ApprovalMode,bijux-proteomics-core,bijux_proteomics/biology/regulator.py,strenum
ArchiveRetentionPackage,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
ArchiveRetentionPackageInput,bijux-proteomics-core,bijux_proteomics/collaboration/__init__.py,jsonmodel
ArchivedArtifactDescriptor,bijux-proteomics-core,bijux_proteomics/workflow/runtime.py,jsonmodel
ArtifactExpectation,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/execution_surfaces.py,jsonmodel
ArtifactFormat,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/contracts.py,strenum
ArtifactIntegrityIssue,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/integrity.py,jsonmodel
ArtifactIntegrityReport,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/integrity.py,jsonmodel
ArtifactInventoryEntry,bijux-proteomics-core,bijux_proteomics/workflow/runtime.py,jsonmodel
ArtifactInventoryRecord,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,jsonmodel
ArtifactInventoryVerificationIssue,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,jsonmodel
ArtifactInventoryVerificationReport,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,jsonmodel
ArtifactLedgerEntry,bijux-proteomics-runtime,bijux_proteomics_runtime/runtime/control/ledger.py,jsonmodel
ArtifactLookupResponse,bijux-proteomics-runtime,bijux_proteomics_runtime/api/v1/schema.py,basemodel
ArtifactMetadata,bijux-proteomics-runtime,bijux_proteomics_runtime/state/schemas.py,basemodel
ArtifactRegistryEntry,bijux-proteomics-core,bijux_proteomics/workflow/runtime.py,jsonmodel
ArtifactRiskReport,bijux-proteomics-knowledge,bijux_proteomics_knowledge/evidence.py,jsonmodel
ArtifactTrustLevel,bijux-proteomics-core,bijux_proteomics/workflow/reproducibility.py,strenum
AssayAcceptanceRule,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
AssayCategory,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,strenum
AssayContradictionPressure,bijux-proteomics-lab,bijux_proteomics_lab/planning.py,jsonmodel
AssayDefinition,bijux-proteomics-lab,bijux_proteomics_lab/outcomes.py,jsonmodel
