module_path,import_path,classification,owner_package,canonical_targets,migration_action
__init__.py,agentic_proteins.__init__,wrapper,agentic-proteins-compat,bijux_proteomics.structure_report;bijux_proteomics_intelligence.domain,"replace `agentic_proteins.__init__` with one of `bijux_proteomics.structure_report`, `bijux_proteomics_intelligence.domain` based on the live owner"
agents/__init__.py,agentic_proteins.agents,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents,replace `agentic_proteins.agents` with `bijux_proteomics_runtime.agents` and retire the compat import
agents/analysis/__init__.py,agentic_proteins.agents.analysis,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.analysis,replace `agentic_proteins.agents.analysis` with `bijux_proteomics_runtime.agents.analysis` and retire the compat import
agents/analysis/failure_analysis.py,agentic_proteins.agents.analysis.failure_analysis,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.analysis.failure_analysis,replace `agentic_proteins.agents.analysis.failure_analysis` with `bijux_proteomics_runtime.agents.analysis.failure_analysis` and retire the compat import
agents/analysis/sequence_analysis.py,agentic_proteins.agents.analysis.sequence_analysis,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.analysis.sequence_analysis,replace `agentic_proteins.agents.analysis.sequence_analysis` with `bijux_proteomics_runtime.agents.analysis.sequence_analysis` and retire the compat import
agents/analysis/structure.py,agentic_proteins.agents.analysis.structure,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.analysis.structure,replace `agentic_proteins.agents.analysis.structure` with `bijux_proteomics_runtime.agents.analysis.structure` and retire the compat import
agents/base/__init__.py,agentic_proteins.agents.base,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.base,replace `agentic_proteins.agents.base` with `bijux_proteomics_runtime.agents.base` and retire the compat import
agents/base/base.py,agentic_proteins.agents.base.base,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.base.base,replace `agentic_proteins.agents.base.base` with `bijux_proteomics_runtime.agents.base.base` and retire the compat import
agents/execution/__init__.py,agentic_proteins.agents.execution,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.execution,replace `agentic_proteins.agents.execution` with `bijux_proteomics_runtime.agents.execution` and retire the compat import
agents/execution/coordinator.py,agentic_proteins.agents.execution.coordinator,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.execution.coordinator,replace `agentic_proteins.agents.execution.coordinator` with `bijux_proteomics_runtime.agents.execution.coordinator` and retire the compat import
agents/planning/__init__.py,agentic_proteins.agents.planning,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.planning,replace `agentic_proteins.agents.planning` with `bijux_proteomics_runtime.agents.planning` and retire the compat import
agents/planning/compiler.py,agentic_proteins.agents.planning.compiler,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.planning.compiler,replace `agentic_proteins.agents.planning.compiler` with `bijux_proteomics_runtime.agents.planning.compiler` and retire the compat import
agents/planning/generation.py,agentic_proteins.agents.planning.generation,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.planning.generation,replace `agentic_proteins.agents.planning.generation` with `bijux_proteomics_runtime.agents.planning.generation` and retire the compat import
agents/planning/planner.py,agentic_proteins.agents.planning.planner,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.planning.planner,replace `agentic_proteins.agents.planning.planner` with `bijux_proteomics_runtime.agents.planning.planner` and retire the compat import
agents/planning/schemas.py,agentic_proteins.agents.planning.schemas,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.planning.schemas,replace `agentic_proteins.agents.planning.schemas` with `bijux_proteomics_runtime.agents.planning.schemas` and retire the compat import
agents/planning/validation.py,agentic_proteins.agents.planning.validation,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.planning.validation,replace `agentic_proteins.agents.planning.validation` with `bijux_proteomics_runtime.agents.planning.validation` and retire the compat import
agents/reporting/__init__.py,agentic_proteins.agents.reporting,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.reporting,replace `agentic_proteins.agents.reporting` with `bijux_proteomics_runtime.agents.reporting` and retire the compat import
agents/reporting/reporting.py,agentic_proteins.agents.reporting.reporting,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.reporting.reporting,replace `agentic_proteins.agents.reporting.reporting` with `bijux_proteomics_runtime.agents.reporting.reporting` and retire the compat import
agents/schemas.py,agentic_proteins.agents.schemas,wrapper,bijux-proteomics-runtime,bijux_proteomics_runtime.agents.schemas,replace `agentic_proteins.agents.schemas` with `bijux_proteomics_runtime.agents.schemas` and retire the compat import
